REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
SIMPLICITY,NGCC,GAS,1,2022,1.992
SIMPLICITY,SCC,COA,1,2022,2.12
SIMPLICITY,TD,SEC_EL,1,2022,1.0
SIMPLICITY,NGCC,GAS,1,2023,1.992
SIMPLICITY,SCC,COA,1,2023,2.12
SIMPLICITY,TD,SEC_EL,1,2023,1.0
SIMPLICITY,NGCC,GAS,1,2024,1.992
SIMPLICITY,SCC,COA,1,2024,2.12
SIMPLICITY,TD,SEC_EL,1,2024,1.0
SIMPLICITY,NGCC,GAS,1,2025,1.992
SIMPLICITY,SCC,COA,1,2025,2.12
SIMPLICITY,TD,SEC_EL,1,2025,1.0
SIMPLICITY,NGCC,GAS,1,2026,1.992
SIMPLICITY,SCC,COA,1,2026,2.12
SIMPLICITY,TD,SEC_EL,1,2026,1.0
SIMPLICITY,NGCC,GAS,1,2027,1.992
SIMPLICITY,SCC,COA,1,2027,2.12
SIMPLICITY,TD,SEC_EL,1,2027,1.0
SIMPLICITY,NGCC,GAS,1,2028,1.992
SIMPLICITY,SCC,COA,1,2028,2.12
SIMPLICITY,TD,SEC_EL,1,2028,1.0
SIMPLICITY,NGCC,GAS,1,2029,1.992
SIMPLICITY,SCC,COA,1,2029,2.12
SIMPLICITY,TD,SEC_EL,1,2029,1.0
SIMPLICITY,NGCC,GAS,1,2030,1.992
SIMPLICITY,SCC,COA,1,2030,2.12
SIMPLICITY,TD,SEC_EL,1,2030,1.0
