REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GasExtraction,2022,15
SIMPLICITY,CoalExtraction,2022,30.0
SIMPLICITY,GasExtraction,2023,15
SIMPLICITY,CoalExtraction,2023,30.0
SIMPLICITY,GasExtraction,2024,15
SIMPLICITY,CoalExtraction,2024,30.0
SIMPLICITY,GasExtraction,2025,15
SIMPLICITY,CoalExtraction,2025,30.0
SIMPLICITY,GasExtraction,2026,15
SIMPLICITY,CoalExtraction,2026,30.0
SIMPLICITY,GasExtraction,2027,15
SIMPLICITY,CoalExtraction,2027,30.0
SIMPLICITY,GasExtraction,2028,15
SIMPLICITY,CoalExtraction,2028,30.0
SIMPLICITY,GasExtraction,2029,15
SIMPLICITY,CoalExtraction,2029,30.0
SIMPLICITY,GasExtraction,2030,15
SIMPLICITY,CoalExtraction,2030,30.0
